Date,Close ,Volume
01/09/2024,234.96,"96,705,700"
01/08/2024,240.45,"85,166,600"
01/05/2024,237.49,"92,379,400"
01/04/2024,237.93,"102,629,300"
01/03/2024,238.45,"121,082,600"
01/02/2024,248.42,"104,654,200"
12/29/2023,248.48,"100,615,300"
12/28/2023,253.18,"113,619,900"
12/27/2023,261.44,"106,494,400"
12/26/2023,256.61,"86,892,400"
12/22/2023,252.54,"93,249,800"
12/21/2023,254.5,"109,594,200"
12/20/2023,247.14,"125,097,000"
12/19/2023,257.22,"106,737,400"
12/18/2023,252.08,"116,416,500"
12/15/2023,253.5,"135,720,800"
12/14/2023,251.05,"160,829,200"
12/13/2023,239.29,"146,286,300"
12/12/2023,237.01,"95,328,300"
12/11/2023,239.74,"97,913,900"
